Country Name,GDP Data,Enrollment Rates
Bangladesh,1390.7646,19.5954
Bangladesh,1360.6252,19.98
Bangladesh,1383.9873,19.94635
Bangladesh,1502.3505,19.86262
Bangladesh,1531.382,20.45443
Bangladesh,1553.5822,23.3595675
Bangladesh,1562.9657,26.264705
Bangladesh,1568.4761,29.1698425
Bangladesh,1607.5397,32.07498
Bangladesh,1648.079,34.9801175
Bangladesh,1660.2803,37.885255
Bangladesh,1623.2451,40.7903925
Bangladesh,1577.4174,43.69553
Bangladesh,1499.0077,46.97891
Bangladesh,1520.2449,48.71913
Bangladesh,1535.8394,50.31414
Bangladesh,1588.2731,51.4181
Bangladesh,1606.8379,51.25708
Bangladesh,1621.7179,47.86414
Bangladesh,1666.4171,46.60288
Bangladesh,1793.9163,47.08379
Bangladesh,1978.3098,47.90072
Bangladesh,2193.2632,45.96439
Bangladesh,2353.637,49.7341
Bangladesh,2650.6636,51.186
Bangladesh,3030.0151,51.503
Bangladesh,3113.8965,53.6534
Bangladesh,3260.8838,57.959
Bangladesh,3453.2925,59.995115
Bangladesh,3714.8008,62.03123
Bangladesh,3833.7283,66.923
Bangladesh,4112.704,64.856
Bangladesh,4428.1455,67.421
Bangladesh,4658.01,67.221
Bangladesh,4658.01,69.014
Bangladesh,4658.01,70.293
Bangladesh,4658.01,71.822
Bangladesh,4658.01,71.822
Bangladesh,4658.01,71.822
Barbados,12789.05,90.94126
Barbados,12660.261,91.77707
Barbados,12830.858,91.9947
Barbados,13217.297,94.43438
Barbados,13541.944,96.80743
Barbados,11801.507,101.42802
Barbados,13744.875,99.1668075
Barbados,14967.196,96.905595
Barbados,15623.32,94.6443825
Barbados,16818.102,92.38317
Barbados,15811.569,88.85434
Barbados,16659.28,91.06176778
Barbados,12578.095,93.26919556
Barbados,13225.763,95.47662333
Barbados,21747.504,97.68405111
Barbados,23666.096,99.89147889
Barbados,25243.86,102.0989067
Barbados,23422.648,104.3063344
Barbados,24377.67,106.5137622
Barbados,24084.865,108.72119
Barbados,23597.746,106.4964
Barbados,23029.361,106.89549
Barbados,22733.799,106.53872
Barbados,20911.803,105.99099
Barbados,21595.09,106.92234
Barbados,22032.338,107.731
Barbados,20567.945,106.92678
Barbados,21718.01,108.90155
Barbados,19940.24,110.27546
Barbados,17594.64,109.85667
Barbados,16825.586,107.44517
Barbados,15311.92,107.06093
Barbados,14260.479,107.4322667
Barbados,13108.818,107.8036033
Barbados,13087.195,108.17494
Barbados,12689.137,108.28153
Barbados,12570.785,108.47801
Barbados,11801.709,110.00706
Barbados,12009.456,108.46265
Barbados,12217.291,106.3282
Barbados,12217.291,104.71501
Barbados,12217.291,104.71025
Barbados,12217.291,106.39241
Barbados,12217.291,106.39241
Barbados,12217.291,106.39241
Belarus,10839.38795,98.8223
Belarus,11188.56176,99.69676
Belarus,11537.73556,99.07727
Belarus,11886.90937,98.31656
Belarus,12236.08317,97.37296
Belarus,12585.25698,96.94114
Belarus,12934.43078,96.91462
Belarus,13283.60459,97.05193
Belarus,13632.77839,97.10059
Belarus,13981.9522,96.97368
Belarus,14331.126,95.21172
Belarus,13916.575,90.03162
Belarus,12404.728,88.92971
Belarus,13180.414,87.54968
Belarus,8683.532,87.96463
Belarus,8409.264,89.22056
Belarus,8840.275,91.002
Belarus,9363.7295,90.49701
Belarus,9184.577,82.31291
Belarus,9084.586,85.757907
Belarus,9388.4455,89.202904
Belarus,9692.305,92.647901
Belarus,9920.514,96.092898
Belarus,10457.991,99.537895
Belarus,11319.383,102.982892
Belarus,12043.056,106.427889
Belarus,13609.858,109.872886
Belarus,15058.907,113.317883
