,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
69,Finland,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.23529412,26.47058824,39.70588235,52.94117647,66.17647059,79.41176471,92.64705882,105.8823529,119.1176471,132.3529412,145.5882353,158.8235294,172.0588235,185.2941176,198.5294118,211.7647059,225,225,225
70,France,6,0,30,55,4,6,5,27,10,9,62,20,51,16,13,16,5,23,15,146,11,17,28,19511,11,13,1393,5,5,18,81,6,12,4,22,3298,5,3,23,1451,1944,2,4813,2,10
71,French Guiana,,,,,,,,,,,,,,,,,0,2.5,5,7.5,10,9.5,9,8.5,8,7.5,7,6.5,6,5.5,5,4.5,4,3.5,3,2.5,2,1.5,1,0.5,0,0,0,0,0
72,French Polynesia,6.16,6.44,6.72,7,7.75,8.5,9.25,10,10.27272727,10.54545455,10.81818182,11.09090909,11.36363636,11.63636364,11.90909091,12.18181818,12.45454545,12.72727273,13,12,11,10,9,8,7,6,5,4,3,2,1,0.857142857,0.714285714,0.571428571,0.428571429,0.285714286,0.142857143,0,0,0,0,0,0,0,0
73,Gabon,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909,0.818181818,0.727272727,0.636363636,0.545454545,0.454545455,0.363636364,0.272727273,0.181818182,0.090909091,0,0
74,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.66666667,35.33333333,53,27,1,0,3,2,1.333333333,0.666666667,0,0,5,9,4.5,0,2,1,0,3,6,5,4,7,10,6,6,6
75,Georgia,,,,,,,,,,,,8,1,1,1,1,4,7,4.666666667,2.333333333,0,0,6,3.5,1,0,0,0,0,0,3.5,7,5,0,0,40,26.66666667,13.33333333,0,0,0,0,0,18,18
76,Germany,,,,,,,,,,,64,0,1,11,13,5,0,30,3,30,18,6,49,9370,2,4,23,19,8,7,17,4,6,11,8,7.5,7,5,5,5,0,198,8180,4,4
77,Ghana,0,0,0,0,0,4,4.75,5.5,6.25,7,6,5,40,75,110,145,121.75,98.5,75.25,52,32,12,4,14.4,24.8,35.2,45.6,56,0,40,63,20,12.5,5,15,25,10,20,34,32,7,9,0,8,8
78,Greece,1,24,18,12,0,23,20,1048,56,30,4,5,3,1,14,52,0,9,17,143,37,11,2,0,0,2,4,86,2,0,1,3.5,6,4.5,3,3,4,26,100,7,10,3,3092,40,0
79,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,39,32.5,26,19.5,13,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Guadeloupe,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3.4,2.8,2.2,1.6,1,0.666666667,0.333333333,0,0.4,0.8,1.2,1.6,2,2.4,2.8,3.2,3.6,4,3.4,2.8,2.2,1.6,1,1,1
