,Country Name,Country Code_x,Country Code_y,ID,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
73,East Asia & Pacific (IDA & IBRD countries),,TEA,2.0,,,,,,,,,,,,,,,,,63.1921196,63.35945129,64.56790161,65.94402313,67.16560364,68.32592773,69.39804077,70.42684174,71.52168274,72.55986786,73.49314117,74.74855042,79.0273819,79.71865082,80.35665894,80.94676208,81.50932312,82.02114868,82.60832214,83.20172882,83.72646332,89.38498688,89.77194977,90.07312775,90.45250702,90.79457092,91.14411926,91.49603271,91.81237793,92.13746643,92.49292755,93.70976257,94.01355743,94.29556274,94.47676849,94.1638031,94.39151001,94.50080872,94.92904663,95.13800812,95.34355927,95.53604889,95.57713318,95.99716187,96.22167206,96.36141968,96.50356293,96.63619232
74,East Asia & Pacific (IDA & IBRD),,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.649956,,,,,,,,,,94.68925,,,,,,,,,,,,,
75,East Asia & Pacific (excluding high income),,EAP,1.5,,,,,,,,,,,,,,,,,63.69419861,63.85924911,65.05122375,66.40856934,67.61348724,68.75798798,69.81548309,70.8302536,71.91015625,72.93418121,73.8547287,75.09300995,79.31347656,79.99532318,80.62463379,81.20629883,81.76069641,82.26519012,82.84407806,83.42884827,83.94519806,89.52677155,89.90746307,90.20379639,90.67518077,90.91433716,91.25837708,91.60472107,91.91644287,92.23677063,92.58711243,93.78843689,94.08830261,94.3666687,94.64861637,94.23642731,94.46130371,94.56922913,94.99214172,95.19853973,95.40149689,95.59159088,95.63213348,96.04688263,96.2685318,96.40647125,96.54675293,96.67762756
76,East Asia and the Pacific (WB),,,1.0,,,,,,,,,,,,,,,,,,65.87666,66.96806,68.20414,69.30146,70.34557,71.3144,72.2447,73.23163,74.16798,75.00072,76.17425,79.95977,80.58923,81.17076,81.71117,82.22357,82.68984,83.24469,83.8043,84.29005,89.27749,89.64291,89.96028,90.32185,90.63564,90.98982,91.36144,91.69448,92.02961,92.37919,93.5125,93.81618,94.08518,94.20017,93.8646,94.09502,94.20693,94.71124,94.92792,95.13196,95.32305,95.36943,95.80688,96.0287,96.16493,96.30093,96.43049
77,East Timor,TLS,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,58.0,,,,,64.06614,65.77913,,,,69.9,,,
78,Ecuador,ECU,ECU,1.5,,,,,,,,,,,74.0,75.0,76.0,77.0,77.0,78.0,79.0,80.0,80.0,81.0,82.0,82.0,84.0,,,,,,,,88.0,,,,,,,,,,,91.0,,,,,,92.0,92.0,92.0,92.0,92.0,92.0,93.0,94.0,94.0,94.0,93.0,,,94.0,94.0,94.0,
79,Egypt,EGY,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,56.0,,,,,,,,,67.0,66.0,,,,72.0,,74.0,72.0,,75.84262,,71.0,,,,,74.5,
80,"Egypt, Arab Rep.",,EGY,2.0,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,44.0,,,,,,,,,,56.0,,,,,,,,,67.0,66.0,,,,72.0,,74.0,72.0,,,,71.0,,,,,74.5,
81,El Salvador,SLV,SLV,1.5,,,,,,,,,,,58.0,59.0,60.0,61.0,61.0,62.0,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,80.77836,,84.0,82.0,84.0,84.0,84.0,85.0,,87.0,,88.0,88.0,88.0,89.0,89.0,90.0,,,90.0
82,Equatorial Guinea,GNQ,GNQ,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,94.3705384,,,,94.95674,95.19566,,,,,,,,
83,Eritrea,ERI,ERI,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,65.0,,,,,,72.79049,73.84525,,,76.570519245,,,,,
84,Estonia,EST,EST,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,100.0,,,,,,,,,,,100.0,,,,99.82351,,,,,,99.870001375,,
85,Eswatini,SWZ,SWZ,1.5,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,67.0,,,,,,,,,,,,,,82.0,,,,,,,,,,83.098289745,,,,,87.47019,,,,,89.27999939,,90.747018455,
86,Ethiopia,ETH,ETH,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,35.900000765,29.8203396,,39.0,,,,,,,,49.03152,47.491589295,51.771179599999996,,,,,,
87,Euro area,,EMU,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Europe & Central Asia,,ECS,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.93805695,96.06758118,96.22135162,96.34140015,96.48623657,96.592453,97.39917961500001,96.75279999,96.91116333,97.00517273,97.0912323,97.21016693,97.27015686,97.35178375,97.47324371,97.7307663,98.44612166,98.03515625,98.13265991,98.19622803,98.2387085,98.28185272,98.33891296,98.41797638,98.50179291,98.56401062,98.60382843,98.64627838,98.66442108,98.68871307
89,Europe & Central Asia (IDA & IBRD countries),,TEC,2.0,,,,,,,,,,,,,,,,,,,,,,,,94.30168152,95.02438354,95.19098663,95.35749817,95.52458954,95.70202637,95.80695343,95.96430969,96.0841217,96.20004272,96.30950165,96.4152832,96.52011871,96.67812347,96.77787018,97.0630722,97.1244812,97.2419281,97.32436371,97.40515137,97.48059082,97.54106903,97.67980194,97.63809967,97.72180176,97.8286972,98.27427673,98.54540253,98.75524139,98.87976837,98.92591095,98.96221924,98.99674225,99.0506897,99.11125183,99.21199036,99.28002167,99.30409241,99.33437347,99.35745239,99.38118744
90,Europe & Central Asia (IDA & IBRD),,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.452644,,,,,,,,,,98.89095,,,,,,,,,,,,,
91,Europe & Central Asia (excluding high income),,ECA,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.20307159,93.41841888,93.56755066,93.71807861,93.84960175,93.97428894,94.09631348,94.34555054,94.47283173,94.72511292,94.88533783,96.16739439,95.27252197,95.42579651,95.56822205,95.68714142,95.97032928,95.8777771,96.04781342,96.17410278,96.99658966,98.173879295,97.96994019,98.21566772,98.30252075,98.36765289,98.42497253,98.52690125,98.64160919,98.69303894,98.8225708,98.86509705,98.91927338,98.96550751,98.99172211
92,Europe and Central Asia (WB),,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.06758,96.22135,96.3414,96.48624,96.59245,96.65252,96.7528,96.91116,97.00517,97.09123,97.21017,97.27016,97.35178,97.47324,97.73077,97.89465,98.03516,98.13266,98.19623,98.23871,98.28185,98.33891,98.41798,98.50179,98.56401,98.60383,98.64628,98.66442,98.68871
93,European Union,,EUU,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Faroe Islands,,FRO,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Fiji,FJI,FJI,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Finland,FIN,FIN,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
