,Country name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
41,Colombia,0.19101317,52.266125,0.0,131.01624,0.0,43.305904,927.9006,23.808083,744.47974,0.0,63.26416,2.9573855,4.8174605,250.9105,156.9182,289.6878,492.2122,40.22316,263.5434,3526.556,202.54935,34.469707,312.79434,98.7172,1296.6204,1432.796,557.51404,6176.1084,2520.1438,342.69144,5016.7925,4493.879,178.05525,133.64786,154.74547,358.0008,4.7705073,158.68118,121.760735,79.49604,656.636,97.96268,519.5432,89.1463,90.93675
42,Comoros,,0.0,4218.9855,8437.971,8877.440999999999,9316.911,10957.3505,12597.79,6298.895,0.0,22.609805,45.21961,45.83618166666667,46.452753333333334,47.069325000000006,47.68589666666667,48.30246833333334,48.91904,49.53561166666667,50.15218333333333,50.768755000000006,51.38532666666667,52.00189833333334,52.61847,23984.830735,47917.043,0.0,129.70208666666667,259.40417333333335,389.10626,3431.1065066666665,6473.1067533333335,9515.107,6122.69035,2730.2737,10915.29496,19100.31622,27285.33748,35470.358739999996,43655.38,43655.38,43655.38,43655.38,43655.38,43655.38
43,Congo,,,,0.0,56.196194545454546,112.39238909090909,168.58858363636364,224.78477818181818,280.98097272727273,337.1771672727273,393.3733618181818,449.56955636363637,505.7657509090909,561.9619454545455,618.15814,633.850555,649.54297,665.2353850000001,680.9278,1392.2678,1411.9925333333333,1431.7172666666668,1451.442,135.77974,95.11672,54.4537,131.11917,631.89764,546.313652,460.729664,375.145676,289.561688,203.9777,313.6296371428571,423.28157428571427,532.9335114285714,642.5854485714285,752.2373857142857,861.8893228571428,971.54126,3943.7178,799.4086,2758.2437,0.0,0.0
44,Cook Islands,,0.0,2010.8181666666667,4021.6363333333334,6032.4545,8043.272666666667,10054.090833333334,12064.909,8043.272666666666,4021.636333333333,0.0,730.2705142857143,1460.5410285714286,2190.8115428571427,2921.082057142857,3651.3525714285715,4381.6230857142855,5111.8936,5048.01945,4984.1453,4920.2711500000005,4856.397,4644.407425,4432.41785,4220.428275,4008.4387,5761.71996,7515.00122,9268.28248,11021.56374,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845,12774.845
45,Costa Rica,55.91669,107.62943666666666,159.34218333333334,211.05493,1101.7223439999998,1992.3897579999998,2883.057172,3773.7245859999994,4664.392,2563.47864,462.56528,6037.811,36.123436,1136.1741,73.25549,225.64587,20129.998,10289.391565,448.78513,256.13678,5.0261497,35.453266,2305.3257,62.908714,78.44238,94.34894,323.073945,551.79895,4653.5244,2818.6348,67.19671,997.772,217.13919,336.21071333333333,455.2822366666667,574.35376,1011.08044,230.2833,2483.565,0.0,487.98514,3880.512,5790.5713,5790.5713,5790.5713
46,Cote d'Ivoire,,,,0.0,10.177712833333333,20.355425666666665,30.5331385,40.71085133333333,50.88856416666666,61.066277,52.34252314285715,43.618769285714286,34.895015428571426,26.171261571428573,17.447507714285717,8.72375385714286,0.0,0.9174535454545455,1.834907090909091,2.7523606363636364,3.669814181818182,4.587267727272727,5.504721272727273,6.422174818181818,7.339628363636364,8.257081909090909,9.174535454545454,10.091989,2.2228312,48.39015,30.421345,22.816008749999998,15.2106725,7.60533625,0.0,0.0,0.0,0.9055046,98.062325,56.01291,69.58505,55.37451,41.16397,41.16397,41.16397
47,Croatia,,,,,,,,,,,,,,,,,42.028957,0.0,5.862818333333333,11.725636666666666,17.588455,26.626667,13.3133335,0.0,2.82186985,5.6437397,0.0,0.59016573,8.862821486666668,17.135477243333334,25.408133,30.0187165,34.6293,123.711335,212.79337,28.203302,56.79726599999999,85.39123,11.320787,1.5739455,5573.74,2786.87,0.0,156.58775,156.58775
48,Cuba,0.0,0.0,1816.552,1648.2898,3296.7461999999996,4945.2026,73.27456,0.0,1453.2915,778.402277,103.513054,121.28710699999999,139.06116,6657.867,1370.0304,305.15137,3170.1255,318.23593,8764.01,2303.4133,6.0779057,52966.543,3213.682,5.357518,2202.6145,23119.1,15.700712,1867.7024,4606.563,3921.576125,3236.58925,2551.602375,1866.6155,2.00502,486.40856,970.8121,1675.1877,88211.38,357.8666,89.34584,38.342773,0.0,28621.328,165.26051,165.26051
49,Cyprus,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.06305,108.1261,162.18914999999998,216.2522,147.81244683333333,79.37269366666666,10.9329405,26.55822125,42.183502,29.121979833333334,16.060457666666668,2.9989355,0.9816548,0.6544365333333333,0.32721826666666665,0.0,0.8611433571428571,1.7222867142857141,2.5834300714285714,3.4445734285714282,4.305716785714285,5.166860142857143,6.0280035,6.8891468571428565,7.750290214285713,8.61143357142857,9.472576928571428,10.333720285714286,11.194863642857142,12.056007,0.0,18.447435,36.89487
50,Czechia,,,,,,,,,,,,,,,,,0.5827702,993.3513,0.0,0.0,0.0,976.73705,1953.4741,0.0,0.0145912665,0.029182533,41.8736,0.0,0.0,138.77061,13.378246,6.689123,0.0,12363.823,9272.86725,6181.9115,3090.95575,0.0,0.0,0.0237395465,0.047479093,36.29618,0.028587792,0.0,0.0
51,Czechoslovakia,,3.9190073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Democratic Republic of Congo,,,,,1004.0211,803.301874232,602.582648464,401.86342269600004,201.14419692800004,0.42497116,76.41533,38.6133281,0.8113262,0.46588667,0.12044714,26.485368093333335,52.850289046666674,79.21521,122.187075,165.15894,95.577742,25.996544,218.61296,45.20949,28.700209,12.190928,150.79399,2.653865,28.698923,7.974142,112.118675,11.652589,6.3875155,6.31729505,6.2470746,315.2336,15.516209,0.6051023,18.096773,445.28732,249.32483,300.75253,26495.768,52.653553,0.49893436
53,Denmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005666757222222222,0.011333514444444444,0.017000271666666667,0.02266702888888889,0.02833378611111111,0.034000543333333334,0.039667300555555556,0.04533405777777778,0.051000815,0.051000815,0.051000815
